Number,stockId,SerialNumber,ProductName,Quantity,Costprice,Price,Department,Category
4140,1021,6.164E+12,Sting red rush330 ml,0,1417,2000,sales,Uncategorised
4141,1021,7.4576E+11,FOCUS HANDWASH LAVENDER500ml,0,4500,5500,sales,Uncategorised
4142,1024,8.68155E+12,Deep fresh wipes 15,0,1200,1500,sales,Uncategorised
5140,0,8.69286E+12,PAPILION COTTON BUDS 100PCS,0,4000,4500,sales,Uncategorised
5141,1,8.69286E+12,PAPILION COTTON BUDS 200PCS,9,5000,6000,sales,Uncategorised
5142,2,8.69886E+12,COMFORT LOVE  COTTON BUDS 300 PCS,3,6500,7500,sales,Uncategorised
6140,3,6.164E+12,LUCOZADE  BOOST 1LIT,1,7500,8500,sales,Uncategorised
